"cidade";"d";"h0";"h90";"h180";"h270"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9689,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9689,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9689,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9689,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9628,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9628,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9628,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9628,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9565,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9565,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9565,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9565,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9547,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9547,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9547,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9547,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9519,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9519,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9519,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9519,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9462,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9462,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9462,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2804,-46.9462,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9723,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9723,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9723,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9723,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9722,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9722,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9722,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9722,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9534,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9534,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9534,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9534,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9485,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9485,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9485,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9485,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9483,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9483,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9483,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2803,-46.9483,h270,p20,z1"
